Turma,NP1
EB3P33,10
EB3P33,3.5
EB3P33,8.5
EB3P33,4
EB3P33,8.5
EB3P33,4.5
EB3P33,7
EB3P33,7
EB3P33,5.5
EB3P33,10
EB3P33,1
EB3P33,10
EB3P33,9
EB3P33,7
EB3P33,4
EB3P33,9.5
EB3P33,9.5
EB3P33,6
EB3P33,10
EB3P33,9
EB3P33,2
EB3P33,7.5
EB3P33,5.5
EB3P33,4.5
EB3Q33,8
EB3Q33,4
EB3Q33,2
EB3Q33,8
EB3Q33,4
EB3Q33,3
EB3Q33,3.5
EB3Q33,3
EB3Q33,8
EB3Q33,6
EB3Q33,8.5
EB3Q33,8
EB3Q33,9.5
EB3Q33,8
EB3Q33,9
EB3Q33,8.5
EB3Q33,7
EB3Q33,NC
EB3Q33,8
EB3Q33,NC
EB3Q33,3
EB3Q33,9.5
EB3Q33,10
EB3Q33,10
EB3Q33,5
EB3Q33,9.5
EB3R33,8.5
EB3R33,8
EB3R33,0
EB3R33,3
EB3R33,9
EB3R33,8
EB3R33,4.5
EB3R33,4.5
EB3R33,8.5
EB3R33,2
EB3R33,2
EB3R33,3
EB3R33,4.5
EB3R33,5.5
EB3R33,8.5
EB3R33,8.5
EB3R33,10
EB3R33,7
EB3R33,8.5
EB3R33,4.5
EB3R33,9
EB3R33,8
EB3R33,2
EB3R33,3.5
EB3R33,5.5
EB3R33,5.5
EB3R33,4.5
EB3R33,10
EB3R33,NC
EB3R33,5.5
EB3S33,NC
EB3S33,9
EB3S33,3
EB3S33,4
EB3S33,0
EB3S33,NC
EB3S33,4
EB3S33,7
EB3S33,7
EB3S33,4
EB3S33,2
EB3S33,4
EB3S33,3
EB3S33,3
EB3S33,4.5
EB3S33,7
EB3T33,10
EB3T33,8.5
EB3T33,10
EB3T33,3
EB3T33,6
EB3T33,10
EB3T33,NC
EB3T33,8.5
EB3T33,5.5
EB3T33,8
EB3T33,1.5
EB3T33,10
EB3T33,2
EB3T33,NC
EB3T33,8
EB3T33,10
EB3T33,5
EB3T33,6
EB3T33,3.5
EB3T33,5
EB3T33,6.5
EB3T33,NC
EB3T33,10
EB3T33,3
EB3T33,5.5
EB3T33,7.5
EB3T33,4.5
EB3U33,5.5
EB3U33,5
EB3U33,7
EB3U33,10
EB3U33,4
EB3U33,8
EB3U33,5
EB3U33,7.5
EB3U33,2
EB3U33,NC
EB3U33,2
EB3U33,3
EB3U33,4.5
EB3U33,10
EB3U33,4
EB3U33,8
EB3U33,10
EB3U33,6.5
EB3U33,9
EB3U33,6
EB3U33,4
EB3U33,7.5
EB3U33,1
EB3U33,10
EB3U33,2
EB3U33,5.5
EB3U33,NC
EB2P33,5
EB2P33,2
EB2P33,3.5
EB2P33,8
EB2P33,1
EB2P33,10
EB2P33,0
EB2P33,8.5
EB2P33,NC
EB2P33,NC
EB2P33,5
EB2P33,6.5
EB2P33,8.5
EB2P33,4.5
EB2P33,10
EB2P33,1
EB2P33,9
EB2P33,9
EB2Q33,NC
EB2Q33,10
EB2Q33,10
EB2Q33,8.5
EB2Q33,NC
EB2Q33,8
EB2Q33,2
EB2Q33,8.5
EB2Q33,5
EB2Q33,10
EB2Q33,4.5
EB2Q33,NC
EB2Q33,3
EB2Q33,0
EB2Q33,NC
EB2Q33,NC
EB2Q33,8.5
EB2Q33,5
EB2Q33,4.5
EB2Q33,NC
EB2Q33,9
EB2Q33,4
EB2R33,4
EB2R33,4
EB2R33,4
EB2R33,7.5
EB2R33,3
EB2R33,5
EB2S33,2
EB2S33,3
EB2S33,4
EB2S33,4
EB2S33,4
EB2S33,5.5
EB2S33,6.5
EB2S33,6.5
EB2T33,NC
EB2T33,NC
EB2T33,NC
EB2T33,NC
EB2T33,7.5
EB2T33,3
EB2T33,5
EB2T33,10
EB2T33,9
EB2T33,6.5
EB2T33,3
EB2T33,2
EB2T33,4.5
EB2T33,7
EB2T33,3
EB2T33,9.5
EB2T33,4.5
EB2T33,8.5
EB2T33,NC
